رشته قبولی,"تعداد  آزمون ها(در مجموع چند سال)",رتبه در منطقه,رتبه کشوری
مهندسی کامپيوتر صنعتی شريف,119 آزمون کانون در6 سال,24 منطقه 2,67 کشور
مهندسی کامپيوتر صنعتی شريف,159 آزمون کانون در5 سال,26 منطقه 2,69 کشور
مهندسی کامپيوتر صنعتی شريف,36 آزمون کانون در2 سال,27 منطقه 2,70 کشور
مهندسی کامپيوتر صنعتی شريف,33 آزمون کانون در2 سال,42 منطقه 1,71 کشور
مهندسی کامپيوتر صنعتی شريف,21 آزمون کانون در2 سال,3 منطقه 3,72 کشور
مهندسی کامپيوتر صنعتی شريف,33 آزمون کانون در2 سال,43 منطقه 1,73 کشور
مهندسی کامپيوتر صنعتی شريف,18 آزمون کانون در2 سال,45 منطقه 1,75 کشور
مهندسی کامپيوتر صنعتی شريف,46 آزمون کانون در3 سال,46 منطقه 1,76 کشور
مهندسی کامپيوتر صنعتی شريف,26 آزمون کانون در1 سال,48 منطقه 1,78 کشور
مهندسی کامپيوتر صنعتی شريف,68 آزمون کانون در2 سال,28 منطقه 2,79 کشور
مهندسی کامپيوتر صنعتی شريف,4 آزمون کانون در1 سال,49 منطقه 1,80 کشور
مهندسی کامپيوتر صنعتی شريف,92 آزمون کانون در2 سال,29 منطقه 2,81 کشور
مهندسی کامپيوتر صنعتی شريف,10 آزمون کانون در2 سال,50 منطقه 1,83 کشور
مهندسی برق صنعتی شريف,49 آزمون کانون در2 سال,54 منطقه 1,87 کشور
مهندسی مکانيک صنعتی شريف,12 آزمون کانون در2 سال,61 منطقه 1,95 کشور
مهندسی کامپيوتر صنعتی شريف,35 آزمون کانون در3 سال,66 منطقه 1,101 کشور
مهندسی برق صنعتی شريف,117 آزمون کانون در7 سال,67 منطقه 1,102 کشور
مهندسی کامپيوتر صنعتی شريف,79 آزمون کانون در5 سال,68 منطقه 1,103 کشور
مهندسی کامپيوتر صنعتی شريف,29 آزمون کانون در1 سال,33 منطقه 2,105 کشور
مهندسی برق صنعتی شريف,38 آزمون کانون در3 سال,72 منطقه 1,108 کشور
مهندسی برق صنعتی شريف,36 آزمون کانون در2 سال,34 منطقه 2,113 کشور
دکترای پيوسته بيوتکنولوژی دانشگاه تهران,17 آزمون کانون در1 سال,35 منطقه 2,114 کشور
علوم کامپيوتر صنعتی شريف,23 آزمون کانون در1 سال,79 منطقه 1,118 کشور
مهندسی کامپيوتر صنعتی شريف,25 آزمون کانون در1 سال,37 منطقه 2,125 کشور
مهندسی برق صنعتی شريف,20 آزمون کانون در1 سال,86 منطقه 1,128 کشور
مهندسی کامپيوتر صنعتی اصفهان,51 آزمون کانون در3 سال,90 منطقه 1,134 کشور
مهندسی کامپيوتر صنعتی شريف,137 آزمون کانون در3 سال,41 منطقه 2,135 کشور
علوم کامپيوتر صنعتی شريف,10 آزمون کانون در1 سال,93 منطقه 1,138 کشور
مهندسی برق صنعتی شريف,71 آزمون کانون در3 سال,99 منطقه 1,147 کشور
مهندسی برق صنعتی شريف,65 آزمون کانون در2 سال,101 منطقه 1,149 کشور
مهندسی برق صنعتی شريف,70 آزمون کانون در4 سال,106 منطقه 1,157 کشور
علوم کامپيوتر صنعتی شريف,28 آزمون کانون در2 سال,107 منطقه 1,158 کشور
مهندسی مکانيک صنعتی شريف,52 آزمون کانون در2 سال,47 منطقه 2,160 کشور
مهندسی برق صنعتی شريف,79 آزمون کانون در2 سال,48 منطقه 2,163 کشور
مهندسی کامپيوتر دانشگاه تهران,52 آزمون کانون در2 سال,6 منطقه 3,164 کشور
مهندسی برق صنعتی شريف,37 آزمون کانون در3 سال,52 منطقه 2,169 کشور
مهندسی کامپيوتر صنعتی شريف - پرديس خود گردان,41 آزمون کانون در2 سال,112 منطقه 1,170 کشور
مهندسی کامپيوتر صنعتی شريف,34 آزمون کانون در2 سال,53 منطقه 2,171 کشور
رشته قبولی,"تعداد  آزمون ها(در مجموع چند سال)",رتبه در منطقه,رتبه کشوری
مهندسی برق صنعتی شريف,128 آزمون کانون در5 سال,1 منطقه 1,1 کشور
مهندسی کامپيوتر صنعتی شريف,13 آزمون کانون در2 سال,2 منطقه 1,2 کشور
مهندسی کامپيوتر صنعتی شريف,22 آزمون کانون در3 سال,3 منطقه 1,3 کشور
مهندسی برق صنعتی شريف,32 آزمون کانون در1 سال,1 منطقه 3,4 کشور
مهندسی کامپيوتر صنعتی شريف,24 آزمون کانون در1 سال,1 منطقه 2,5 کشور
مهندسی کامپيوتر صنعتی شريف,4 آزمون کانون در2 سال,4 منطقه 1,6 کشور
مهندسی کامپيوتر صنعتی شريف,80 آزمون کانون در5 سال,5 منطقه 1,8 کشور
مهندسی کامپيوتر صنعتی شريف,21 آزمون کانون در1 سال,6 منطقه 1,9 کشور
مهندسی کامپيوتر صنعتی شريف,101 آزمون کانون در4 سال,3 منطقه 2,11 کشور
مهندسی کامپيوتر صنعتی شريف,86 آزمون کانون در3 سال,8 منطقه 1,13 کشور
مهندسی کامپيوتر صنعتی شريف,117 آزمون کانون در7 سال,10 منطقه 1,15 کشور
مهندسی کامپيوتر صنعتی شريف,12 آزمون کانون در1 سال,11 منطقه 1,17 کشور
مهندسی کامپيوتر صنعتی شريف,5 آزمون کانون در2 سال,12 منطقه 1,18 کشور
مهندسی کامپيوتر صنعتی شريف,53 آزمون کانون در3 سال,6 منطقه 2,19 کشور
مهندسی کامپيوتر صنعتی شريف,57 آزمون کانون در3 سال,13 منطقه 1,20 کشور
مهندسی کامپيوتر صنعتی شريف,11 آزمون کانون در1 سال,7 منطقه 2,21 کشور
مهندسی کامپيوتر صنعتی شريف,28 آزمون کانون در1 سال,8 منطقه 2,22 کشور
مهندسی کامپيوتر صنعتی شريف,28 آزمون کانون در3 سال,9 منطقه 2,24 کشور
مهندسی کامپيوتر صنعتی شريف,66 آزمون کانون در3 سال,10 منطقه 2,25 کشور
مهندسی کامپيوتر صنعتی شريف,70 آزمون کانون در2 سال,16 منطقه 1,27 کشور
مهندسی برق صنعتی شريف,215 آزمون کانون در10 سال,11 منطقه 2,28 کشور
مهندسی کامپيوتر صنعتی شريف,54 آزمون کانون در3 سال,12 منطقه 2,31 کشور
مهندسی کامپيوتر صنعتی شريف,92 آزمون کانون در3 سال,13 منطقه 2,33 کشور
مهندسی کامپيوتر صنعتی شريف,35 آزمون کانون در1 سال,14 منطقه 2,34 کشور
مهندسی کامپيوتر صنعتی شريف,44 آزمون کانون در2 سال,20 منطقه 1,35 کشور
مهندسی کامپيوتر صنعتی شريف,116 آزمون کانون در4 سال,16 منطقه 2,37 کشور
مهندسی برق صنعتی شريف,52 آزمون کانون در2 سال,2 منطقه 3,38 کشور
مهندسی کامپيوتر صنعتی شريف,55 آزمون کانون در5 سال,17 منطقه 2,40 کشور
مهندسی کامپيوتر صنعتی شريف,43 آزمون کانون در3 سال,22 منطقه 1,41 کشور
مهندسی کامپيوتر صنعتی شريف,9 آزمون کانون در2 سال,23 منطقه 1,42 کشور
مهندسی برق صنعتی شريف,51 آزمون کانون در1 سال,18 منطقه 2,44 کشور
مهندسی کامپيوتر صنعتی شريف,46 آزمون کانون در2 سال,26 منطقه 1,46 کشور
مهندسی کامپيوتر صنعتی شريف,217 آزمون کانون در7 سال,19 منطقه 2,47 کشور
مهندسی کامپيوتر صنعتی شريف,61 آزمون کانون در3 سال,28 منطقه 1,49 کشور
مهندسی کامپيوتر صنعتی شريف,13 آزمون کانون در1 سال,29 منطقه 1,51 کشور
مهندسی کامپيوتر صنعتی شريف,59 آزمون کانون در4 سال,36 منطقه 1,58 کشور
مهندسی کامپيوتر صنعتی شريف,46 آزمون کانون در1 سال,21 منطقه 2,61 کشور
مهندسی کامپيوتر صنعتی شريف,56 آزمون کانون در2 سال,23 منطقه 2,64 کشور
رشته قبولی,"تعداد  آزمون ها(در مجموع چند سال)",رتبه در منطقه,رتبه کشوری
مهندسی برق صنعتی شريف,60 آزمون کانون در3 سال,82 منطقه 2,289 کشور
مهندسی کامپيوتر دانشگاه تهران,122 آزمون کانون در7 سال,83 منطقه 2,293 کشور
مهندسی برق صنعتی شريف,29 آزمون کانون در2 سال,13 منطقه 3,293 کشور
مهندسی برق صنعتی شريف,44 آزمون کانون در1 سال,87 منطقه 2,300 کشور
مهندسی کامپيوتر صنعتی اميرکبير,62 آزمون کانون در2 سال,88 منطقه 2,301 کشور
مهندسی برق صنعتی شريف,49 آزمون کانون در2 سال,89 منطقه 2,304 کشور
مهندسی مکانيک صنعتی شريف,52 آزمون کانون در1 سال,92 منطقه 2,309 کشور
مهندسی برق صنعتی شريف,63 آزمون کانون در4 سال,206 منطقه 1,311 کشور
مهندسی کامپيوتر دانشگاه تهران,62 آزمون کانون در3 سال,209 منطقه 1,315 کشور
مهندسی برق صنعتی شريف,53 آزمون کانون در2 سال,94 منطقه 2,318 کشور
مهندسی کامپيوتر دانشگاه تهران,91 آزمون کانون در2 سال,95 منطقه 2,319 کشور
مهندسی برق صنعتی شريف,55 آزمون کانون در4 سال,216 منطقه 1,325 کشور
مهندسی کامپيوتر صنعتی اميرکبير,99 آزمون کانون در3 سال,97 منطقه 2,327 کشور
مهندسی کامپيوتر صنعتی اميرکبير,68 آزمون کانون در3 سال,225 منطقه 1,336 کشور
مهندسی کامپيوتر دانشگاه تهران,69 آزمون کانون در4 سال,98 منطقه 2,338 کشور
مهندسی کامپيوتر صنعتی اميرکبير,46 آزمون کانون در2 سال,100 منطقه 2,340 کشور
مهندسی کامپيوتر صنعتی شريف,38 آزمون کانون در3 سال,15 منطقه 3,344 کشور
مهندسی کامپيوتر دانشگاه تهران,66 آزمون کانون در2 سال,106 منطقه 2,354 کشور
مهندسی برق دانشگاه تهران,10 آزمون کانون در1 سال,235 منطقه 1,358 کشور
مهندسی برق صنعتی شريف,22 آزمون کانون در1 سال,106 منطقه 2,366 کشور
