,weight,height,age,BMI
0,67.5,1.8,28,20.8
1,63.6,1.8,33,19.6
2,74.0,1.9,33,20.5
3,87.6,1.7,19,30.3
4,74.7,1.8,18,23.1
5,83.6,1.7,36,28.9
6,87.4,1.9,20,24.2
7,95.9,1.7,33,33.2
8,83.4,1.7,33,28.9
9,81.0,1.9,27,22.4
10,98.0,2.0,20,24.5
11,77.1,1.9,38,21.4
12,78.0,1.8,32,24.1
13,81.8,2.1,32,18.5
14,99.7,2.1,30,22.6
15,85.9,1.8,25,26.5
16,94.7,1.7,37,32.8
17,96.9,1.8,18,29.9
18,67.3,1.8,31,20.8
19,80.5,1.5,36,35.8
20,99.1,1.7,25,34.3
21,89.1,2.0,23,22.3
22,98.5,1.8,36,30.4
23,75.6,1.9,36,20.9
24,71.1,1.6,33,27.8
25,83.3,1.8,21,25.7
26,79.2,1.7,32,27.4
27,67.9,1.7,38,23.5
28,63.6,1.9,24,17.6
29,61.9,2.0,38,15.5
30,99.8,2.1,29,22.6
31,66.8,1.9,35,18.5
32,62.1,1.9,28,17.2
33,78.8,1.6,32,30.8
34,89.5,1.9,31,24.8
35,69.8,1.7,19,24.2
36,74.3,1.8,31,22.9
37,82.7,1.5,22,36.8
38,95.9,1.8,22,29.6
39,74.2,2.0,28,18.6
40,91.0,2.0,35,22.8
41,87.9,1.7,25,30.4
42,87.2,1.9,26,24.2
43,84.1,2.0,18,21.0
44,84.9,2.0,18,21.2
45,65.8,1.9,33,18.2
46,77.4,1.9,23,21.4
47,82.8,1.7,38,28.7
48,64.7,1.7,31,22.4
49,71.0,1.5,36,31.6
50,73.1,1.7,32,25.3
51,85.5,1.7,29,29.6
52,91.7,1.6,25,35.8
53,72.5,1.7,26,25.1
54,67.6,1.8,32,20.9
55,70.8,1.9,25,19.6
56,64.2,2.1,29,14.6
57,96.1,1.6,29,37.5
58,70.9,1.7,26,24.5
59,91.3,1.9,31,25.3
60,89.6,1.6,38,35.0
61,95.8,2.0,32,24.0
62,63.7,1.5,26,28.3
63,78.4,1.9,35,21.7
64,68.5,1.8,26,21.1
65,76.6,2.0,22,19.2
66,64.1,2.0,27,16.0
67,62.6,1.6,33,24.5
68,74.0,2.0,30,18.5
69,87.4,1.9,38,24.2
70,90.3,2.0,26,22.6
71,85.8,1.6,28,33.5
72,93.1,2.0,25,23.3
73,94.0,1.6,20,36.7
74,81.2,1.8,28,25.1
75,81.4,2.1,23,18.5
76,83.0,2.0,25,20.8
77,95.1,1.9,31,26.3
78,97.7,1.6,38,38.2
79,94.7,2.0,20,23.7
80,66.5,2.1,36,15.1
81,92.9,1.9,29,25.7
82,99.6,1.7,20,34.5
83,84.0,2.0,33,21.0
84,63.9,1.6,31,25.0
85,93.8,2.0,27,23.4
86,64.0,1.5,22,28.4
87,73.1,1.7,34,25.3
88,70.9,1.8,36,21.9
89,87.7,1.9,37,24.3
90,66.3,1.8,24,20.5
91,85.9,2.1,26,19.5
92,62.5,1.8,21,19.3
93,93.1,1.7,22,32.2
94,92.7,1.7,31,32.1
95,90.7,2.0,23,22.7
96,72.4,2.0,27,18.1
97,89.5,1.6,28,35.0
98,67.2,1.8,23,20.7
99,79.6,2.0,35,19.9
100,68.0,1.5,29,30.2
101,99.6,1.8,28,30.7
102,95.1,1.7,30,32.9
103,70.1,1.7,19,24.3
104,85.5,1.7,24,29.6
105,66.3,1.7,36,22.9
106,91.5,1.7,36,31.7
107,81.2,2.0,24,20.3
108,80.9,1.6,36,31.6
109,93.1,1.7,23,32.2
110,71.4,2.1,21,16.2
111,63.0,1.9,23,17.5
112,61.3,2.1,19,13.9
113,74.6,1.8,25,23.0
114,80.2,1.5,21,35.6
115,96.6,1.6,31,37.7
116,70.1,1.8,22,21.6
117,85.4,1.6,27,33.4
118,87.1,1.5,21,38.7
119,66.7,1.8,29,20.6
120,67.5,1.7,19,23.4
121,63.9,2.1,30,14.5
122,98.6,1.7,19,34.1
123,78.3,1.5,24,34.8
124,94.6,1.9,25,26.2
125,89.9,2.1,34,20.4
126,64.4,1.9,28,17.8
127,91.3,2.0,36,22.8
128,98.7,1.9,20,27.3
129,64.8,1.8,33,20.0
130,64.1,1.9,34,17.8
131,60.6,1.7,37,21.0
132,73.3,1.6,24,28.6
133,86.1,1.7,29,29.8
134,73.2,1.7,29,25.3
135,60.4,1.7,23,20.9
136,89.1,2.0,27,22.3
137,76.6,1.7,21,26.5
138,63.4,1.8,20,19.6
139,62.1,1.9,28,17.2
140,74.6,1.9,38,20.7
141,67.3,1.7,34,23.3
142,84.0,1.6,29,32.8
143,90.5,1.9,22,25.1
144,84.8,2.0,35,21.2
145,88.6,2.0,34,22.2
146,78.5,2.1,27,17.8
147,98.8,1.8,19,30.5
148,78.8,1.8,22,24.3
149,65.8,1.9,24,18.2
