iter	MultiClass
0	0.9891362533
1	0.9103899478
2	0.8663130936
3	0.8190037809
4	0.7742801733
5	0.7460426232
6	0.7188438802
7	0.6935655599
8	0.673666768
9	0.6553887883
10	0.6343981466
11	0.6159492625
12	0.6054466714
13	0.5908658677
14	0.5823351817
15	0.5712980637
16	0.5599538196
17	0.5502087077
18	0.5401669677
19	0.5293089183
20	0.5224336371
21	0.5102575101
22	0.4987592785
23	0.4905984599
24	0.4808563269
25	0.4728581927
26	0.4664231661
27	0.4592798282
28	0.4484867592
29	0.4430542321
30	0.4388745323
31	0.4330440768
32	0.4281277204
33	0.4229262346
34	0.4156713851
35	0.4090939649
36	0.4041404925
37	0.3992937147
38	0.3935640236
39	0.386703132
40	0.3806897436
41	0.3752475619
42	0.3682250424
43	0.3659468837
44	0.3613832316
45	0.3545689523
46	0.3453225429
47	0.3411312257
48	0.3366699382
49	0.3328790484
50	0.3297554416
51	0.3260571788
52	0.3235097545
53	0.3150608045
54	0.3112353569
55	0.309070455
56	0.3039429294
57	0.297916095
58	0.2934455524
59	0.2886870192
60	0.2845331174
61	0.2822683283
62	0.2768425566
63	0.2760772552
64	0.273086927
65	0.2704559352
66	0.2673560324
67	0.2664749294
68	0.2638921182
69	0.2614772792
70	0.2576697023
71	0.2567133888
72	0.2548746794
73	0.2541637465
74	0.2514852489
75	0.2485190872
76	0.2453342188
77	0.2431579006
78	0.2413409408
79	0.2384883528
80	0.2337273469
81	0.2303180849
82	0.22880125
83	0.2238686333
84	0.2205541013
85	0.2185122182
86	0.2172142508
87	0.2158661655
88	0.2144725936
89	0.2115800433
90	0.2090279513
91	0.2062384268
92	0.2026522623
93	0.1989759114
94	0.1969202015
95	0.1938618077
96	0.1923253733
97	0.1905638713
98	0.1894793806
99	0.1882767458
100	0.1867944709
101	0.1857509294
102	0.1840816402
103	0.1805948191
104	0.1783806832
105	0.1770818294
106	0.1758077637
107	0.1747054362
108	0.1734777467
109	0.1722423694
110	0.1704494487
111	0.1687840904
112	0.1674675067
113	0.1656797515
114	0.164557165
115	0.1634925209
116	0.1626734148
117	0.1613771936
118	0.1597359061
119	0.1586876347
120	0.1568237132
121	0.1556695816
122	0.1546214507
123	0.1525754358
124	0.1519016963
125	0.1508014279
126	0.1492000283
127	0.1478308916
128	0.1465031348
129	0.1454369894
130	0.1437363494
131	0.1421692775
132	0.1416463614
133	0.1391948096
134	0.1377541558
135	0.1368517839
136	0.1359787725
137	0.1352382349
138	0.1340867999
139	0.1326562189
140	0.1314803315
141	0.1297428394
142	0.1278974808
143	0.1271706323
144	0.1264405494
145	0.1253876763
146	0.1247952893
147	0.1242535018
148	0.1227572655
149	0.1212571126
150	0.1203490326
151	0.118914767
152	0.118341267
153	0.1169323954
154	0.1156179536
155	0.1148093554
156	0.1138654179
157	0.1127424422
158	0.112421455
159	0.1116651361
160	0.1107998772
161	0.1099503498
162	0.1093275957
163	0.1084550376
164	0.107797907
165	0.1075877812
166	0.106562708
167	0.1055167931
168	0.1047197007
169	0.1038594178
170	0.1032328705
171	0.1025668049
172	0.1018736499
173	0.1016287424
174	0.1010005618
175	0.1001826498
176	0.0995470145
177	0.09898978166
178	0.09836472326
179	0.09778097184
180	0.09705156235
181	0.09613691937
182	0.09554155971
183	0.09460925423
184	0.09436826833
185	0.09324248006
186	0.09221133622
187	0.09174644424
188	0.09150710295
189	0.0906333181
190	0.0902273467
191	0.08966117172
192	0.08889182586
193	0.08807721701
194	0.08725845994
195	0.08665158326
196	0.08616641433
197	0.08551385561
198	0.08483475069
199	0.08418017703
