iter	Passed	Remaining
0	37	7503
1	69	6852
2	98	6439
3	127	6257
4	159	6212
5	189	6142
6	218	6016
7	248	5973
8	277	5881
9	305	5808
10	333	5730
11	361	5664
12	389	5598
13	417	5551
14	445	5488
15	471	5419
16	497	5352
17	524	5305
18	552	5259
19	578	5202
20	604	5153
21	628	5088
22	652	5021
23	677	4965
24	702	4919
25	731	4896
26	758	4862
27	784	4819
28	811	4785
29	837	4746
30	865	4716
31	892	4687
32	917	4643
33	944	4613
34	969	4572
35	997	4544
36	1025	4515
37	1051	4481
38	1076	4444
39	1106	4425
40	1134	4397
41	1160	4364
42	1185	4328
43	1212	4298
44	1239	4267
45	1265	4235
46	1294	4212
47	1320	4181
48	1348	4156
49	1374	4124
50	1401	4093
51	1427	4064
52	1454	4034
53	1478	3998
54	1507	3973
55	1534	3946
56	1562	3919
57	1589	3892
58	1616	3862
59	1643	3834
60	1668	3802
61	1693	3769
62	1723	3747
63	1748	3715
64	1774	3686
65	1801	3657
66	1827	3627
67	1853	3597
68	1880	3570
69	1909	3546
70	1938	3521
71	1961	3487
72	1986	3456
73	2011	3425
74	2040	3401
75	2067	3373
76	2095	3347
77	2123	3321
78	2150	3293
79	2175	3263
80	2202	3236
81	2231	3211
82	2262	3188
83	2294	3169
84	2324	3145
85	2351	3117
86	2378	3089
87	2404	3060
88	2431	3032
89	2458	3005
90	2483	2975
91	2509	2946
92	2538	2921
93	2564	2891
94	2591	2864
95	2617	2835
96	2642	2805
97	2666	2775
98	2693	2747
99	2720	2720
100	2745	2691
101	2772	2663
102	2800	2637
103	2828	2610
104	2855	2583
105	2881	2555
106	2908	2528
107	2935	2500
108	2959	2471
109	2987	2444
110	3010	2414
111	3036	2386
112	3061	2356
113	3086	2328
114	3113	2301
115	3141	2274
116	3167	2247
117	3196	2220
118	3222	2193
119	3248	2165
120	3275	2138
121	3300	2110
122	3329	2084
123	3355	2056
124	3384	2030
125	3410	2003
126	3436	1975
127	3463	1948
128	3489	1920
129	3516	1893
130	3545	1867
131	3569	1838
132	3595	1811
133	3625	1785
134	3651	1758
135	3679	1731
136	3705	1703
137	3736	1678
138	3768	1653
139	3800	1628
140	3832	1603
141	3863	1578
142	3895	1552
143	3924	1526
144	3956	1500
145	3988	1475
146	4016	1447
147	4044	1421
148	4077	1395
149	4109	1369
150	4141	1343
151	4169	1316
152	4197	1289
153	4225	1262
154	4252	1234
155	4280	1207
156	4309	1180
157	4338	1153
158	4364	1125
159	4392	1098
160	4420	1070
161	4447	1043
162	4476	1016
163	4506	989
164	4534	961
165	4561	934
166	4592	907
167	4622	880
168	4651	853
169	4685	826
170	4711	798
171	4740	771
172	4764	743
173	4788	715
174	4814	687
175	4839	659
176	4865	632
177	4890	604
178	4917	576
179	4944	549
180	4970	521
181	4996	494
182	5024	466
183	5050	439
184	5078	411
185	5106	384
186	5132	356
187	5160	329
188	5185	301
189	5211	274
190	5239	246
191	5266	219
192	5294	192
193	5319	164
194	5346	137
195	5373	109
196	5398	82
197	5423	54
198	5452	27
199	5480	0
